Gene,Sample,Season,Substrate,Length (bp),Length of best hit (aa),Length(bp) / 3
Endo,I-P01,Spring,Inulin,543,512,181
Endo,I-P07,Spring,Inulin,636,512,212
Endo,I-S07,Summer,Inulin,528,512,176
Endo,I-S34,Summer,Inulin,1968,658,656
Endo,I-W33,Winter,Inulin,531,512,177
Endo,S-P03,Spring,Inulin,1968,658,656
Endo,S-P09,Spring,Inulin,528,512,176
Endo,S-S05,Summer,Inulin,858,592,286
Endo,S-W36,Winter,Inulin,456,512,152
Exo,I-P01,Spring,Inulin,1659,,553
Exo,I-P01,Spring,Inulin,1809,,603
Exo,I-P01,Spring,Inulin,1806,,602
Exo,I-P01,Spring,Inulin,1542,,514
Exo,I-P01,Spring,Inulin,1833,,611
Exo,I-P01,Spring,Inulin,1815,,605
Exo,I-P01,Spring,Inulin,1848,,616
Exo,I-P01,Spring,Inulin,1827,,609
Exo,I-P01,Spring,Inulin,1836,,612
Exo,I-P01,Spring,Inulin,1836,,612
Exo,I-P01,Spring,Inulin,1533,,511
Exo,I-P01,Spring,Inulin,1767,,589
Exo,I-P01,Spring,Inulin,1770,,590
Exo,I-P01,Spring,Inulin,1371,,457
Exo,I-P01,Spring,Inulin,1581,,527
Exo,I-P01,Spring,Inulin,786,,262
Exo,I-P01,Spring,Inulin,1362,,454
Exo,I-P01,Spring,Inulin,1113,,371
Exo,I-P01,Spring,Inulin,984,,328
Exo,I-P01,Spring,Inulin,336,,112
Exo,I-P01,Spring,Inulin,336,,112
Exo,I-P07,Spring,Inulin,1824,,608
Exo,I-P07,Spring,Inulin,1842,,614
Exo,I-P07,Spring,Inulin,1620,,540
Exo,I-P07,Spring,Inulin,1827,,609
Exo,I-P07,Spring,Inulin,1659,,553
Exo,I-P07,Spring,Inulin,1539,,513
Exo,I-P07,Spring,Inulin,1761,,587
Exo,I-P07,Spring,Inulin,1815,,605
Exo,I-P07,Spring,Inulin,1815,,605
Exo,I-P07,Spring,Inulin,1686,,562
Exo,I-P07,Spring,Inulin,1542,,514
Exo,I-P07,Spring,Inulin,1806,,602
Exo,I-P07,Spring,Inulin,1842,,614
Exo,I-P07,Spring,Inulin,1386,,462
Exo,I-P07,Spring,Inulin,1659,,553
Exo,I-P07,Spring,Inulin,1836,,612
Exo,I-P07,Spring,Inulin,1353,,451
Exo,I-P07,Spring,Inulin,1089,,363
Exo,I-P07,Spring,Inulin,1125,,375
Exo,I-P07,Spring,Inulin,1680,,560
Exo,I-P07,Spring,Inulin,1185,,395
Exo,I-P07,Spring,Inulin,1023,,341
Exo,I-P07,Spring,Inulin,816,,272
Exo,I-P07,Spring,Inulin,735,,245
Exo,I-P07,Spring,Inulin,375,,125
Exo,I-P07,Spring,Inulin,288,,96
Exo,I-P11,Spring,Inulin,1809,,603
Exo,I-P11,Spring,Inulin,1815,,605
Exo,I-P11,Spring,Inulin,1539,,513
Exo,I-P11,Spring,Inulin,1761,,587
Exo,I-P11,Spring,Inulin,1503,,501
Exo,I-P11,Spring,Inulin,1836,,612
Exo,I-P11,Spring,Inulin,1533,,511
Exo,I-P11,Spring,Inulin,1815,,605
Exo,I-P11,Spring,Inulin,1368,,456
Exo,I-P11,Spring,Inulin,1842,,614
Exo,I-P11,Spring,Inulin,1848,,616
Exo,I-P11,Spring,Inulin,876,,292
Exo,I-P11,Spring,Inulin,780,,260
Exo,I-P11,Spring,Inulin,447,,149
Exo,I-P11,Spring,Inulin,444,,148
Exo,I-P11,Spring,Inulin,378,,126
Exo,I-P11,Spring,Inulin,312,,104
Exo,I-S07,Summer,Inulin,1848,,616
Exo,I-S07,Summer,Inulin,1845,,615
Exo,I-S07,Summer,Inulin,1809,,603
Exo,I-S07,Summer,Inulin,1659,,553
Exo,I-S07,Summer,Inulin,1806,,602
Exo,I-S07,Summer,Inulin,1392,,464
Exo,I-S07,Summer,Inulin,1377,,459
Exo,I-S07,Summer,Inulin,1782,,594
Exo,I-S07,Summer,Inulin,1836,,612
Exo,I-S07,Summer,Inulin,1869,,623
Exo,I-S07,Summer,Inulin,1878,,626
Exo,I-S07,Summer,Inulin,1827,,609
Exo,I-S07,Summer,Inulin,1686,,562
Exo,I-S07,Summer,Inulin,1839,,613
Exo,I-S07,Summer,Inulin,1539,,513
Exo,I-S07,Summer,Inulin,1761,,587
Exo,I-S07,Summer,Inulin,252,,84
Exo,I-S07,Summer,Inulin,1827,,609
Exo,I-S07,Summer,Inulin,1404,,468
Exo,I-S07,Summer,Inulin,1815,,605
Exo,I-S07,Summer,Inulin,1833,,611
Exo,I-S07,Summer,Inulin,1806,,602
Exo,I-S07,Summer,Inulin,1212,,404
Exo,I-S07,Summer,Inulin,1206,,402
Exo,I-S07,Summer,Inulin,957,,319
Exo,I-S07,Summer,Inulin,615,,205
Exo,I-S29,Summer,Inulin,1848,,616
Exo,I-S29,Summer,Inulin,1878,,626
Exo,I-S29,Summer,Inulin,1809,,603
Exo,I-S29,Summer,Inulin,1824,,608
Exo,I-S29,Summer,Inulin,1503,,501
Exo,I-S29,Summer,Inulin,1842,,614
Exo,I-S29,Summer,Inulin,1686,,562
Exo,I-S29,Summer,Inulin,1836,,612
Exo,I-S29,Summer,Inulin,1806,,602
Exo,I-S29,Summer,Inulin,1761,,587
Exo,I-S29,Summer,Inulin,1539,,513
Exo,I-S29,Summer,Inulin,1815,,605
Exo,I-S29,Summer,Inulin,1476,,492
Exo,I-S29,Summer,Inulin,1827,,609
Exo,I-S29,Summer,Inulin,1533,,511
Exo,I-S29,Summer,Inulin,1269,,423
Exo,I-S29,Summer,Inulin,1836,,612
Exo,I-S29,Summer,Inulin,1833,,611
Exo,I-S29,Summer,Inulin,1815,,605
Exo,I-S29,Summer,Inulin,1827,,609
Exo,I-S29,Summer,Inulin,1338,,446
Exo,I-S29,Summer,Inulin,1833,,611
