Gene,Sample,Season,Substrate,Length (bp),Length of best hit (aa),Length(bp) / 3
Exo,I-S29,Summer,Inulin,1827,,609
Exo,I-S29,Summer,Inulin,1509,,503
Exo,I-S29,Summer,Inulin,570,,190
Exo,I-S29,Summer,Inulin,522,,174
Exo,I-S29,Summer,Inulin,414,,138
Exo,I-S29,Summer,Inulin,270,,90
Exo,I-S34,Summer,Inulin,1830,,610
Exo,I-S34,Summer,Inulin,1785,,595
Exo,I-S34,Summer,Inulin,1968,,656
Exo,I-S34,Summer,Inulin,1539,,513
Exo,I-S34,Summer,Inulin,1761,,587
Exo,I-S34,Summer,Inulin,1542,,514
Exo,I-S34,Summer,Inulin,1806,,602
Exo,I-S34,Summer,Inulin,1833,,611
Exo,I-S34,Summer,Inulin,1815,,605
Exo,I-S34,Summer,Inulin,1815,,605
Exo,I-S34,Summer,Inulin,1827,,609
Exo,I-S34,Summer,Inulin,945,,315
Exo,I-S34,Summer,Inulin,897,,299
Exo,I-S34,Summer,Inulin,510,,170
Exo,I-S34,Summer,Inulin,318,,106
Exo,I-W31,Winter,Inulin,1809,,603
Exo,I-W31,Winter,Inulin,1089,,363
Exo,I-W31,Winter,Inulin,1848,,616
Exo,I-W31,Winter,Inulin,1980,,660
Exo,I-W31,Winter,Inulin,1833,,611
Exo,I-W31,Winter,Inulin,1815,,605
Exo,I-W31,Winter,Inulin,1533,,511
Exo,I-W31,Winter,Inulin,1827,,609
Exo,I-W31,Winter,Inulin,1836,,612
Exo,I-W31,Winter,Inulin,1848,,616
Exo,I-W31,Winter,Inulin,1851,,617
Exo,I-W31,Winter,Inulin,471,,157
Exo,I-W31,Winter,Inulin,1857,,619
Exo,I-W31,Winter,Inulin,1317,,439
Exo,I-W31,Winter,Inulin,1239,,413
Exo,I-W31,Winter,Inulin,1212,,404
Exo,I-W31,Winter,Inulin,1080,,360
Exo,I-W31,Winter,Inulin,630,,210
Exo,I-W31,Winter,Inulin,582,,194
Exo,I-W31,Winter,Inulin,294,,98
Exo,I-W32,Winter,Inulin,1833,,611
Exo,I-W32,Winter,Inulin,1848,,616
Exo,I-W32,Winter,Inulin,1833,,611
Exo,I-W32,Winter,Inulin,1809,,603
Exo,I-W32,Winter,Inulin,1842,,614
Exo,I-W32,Winter,Inulin,1851,,617
Exo,I-W32,Winter,Inulin,1878,,626
Exo,I-W32,Winter,Inulin,1338,,446
Exo,I-W32,Winter,Inulin,1836,,612
Exo,I-W32,Winter,Inulin,1572,,524
Exo,I-W32,Winter,Inulin,1338,,446
Exo,I-W32,Winter,Inulin,309,,103
Exo,I-W33,Winter,Inulin,1827,594,609
Exo,I-W33,Winter,Inulin,1815,604,605
Exo,I-W33,Winter,Inulin,1836,612,612
Exo,I-W33,Winter,Inulin,1851,612,617
Exo,I-W33,Winter,Inulin,1848,594,616
Exo,I-W33,Winter,Inulin,876,547,292
Exo,I-W33,Winter,Inulin,1605,548,535
Exo,I-W33,Winter,Inulin,1806,592,602
Exo,I-W33,Winter,Inulin,1230,610,410
Exo,I-W33,Winter,Inulin,1524,602,508
Exo,I-W33,Winter,Inulin,1026,612,342
Exo,I-W33,Winter,Inulin,1146,612,382
Exo,I-W33,Winter,Inulin,249,494,83
Exo,S-P03,Spring,Saline,1839,,613
Exo,S-P03,Spring,Saline,1815,,605
Exo,S-P03,Spring,Saline,1848,,616
Exo,S-P03,Spring,Saline,1809,,603
Exo,S-P03,Spring,Saline,1842,,614
Exo,S-P03,Spring,Saline,1851,,617
Exo,S-P03,Spring,Saline,1848,,616
Exo,S-P03,Spring,Saline,1836,,612
Exo,S-P03,Spring,Saline,1503,,501
Exo,S-P03,Spring,Saline,1845,,615
Exo,S-P03,Spring,Saline,1806,,602
Exo,S-P03,Spring,Saline,1809,,603
Exo,S-P03,Spring,Saline,1833,,611
Exo,S-P03,Spring,Saline,1836,,612
Exo,S-P03,Spring,Saline,975,,325
Exo,S-P03,Spring,Saline,1824,,608
Exo,S-P03,Spring,Saline,1968,,656
Exo,S-P03,Spring,Saline,1431,,477
Exo,S-P03,Spring,Saline,1230,,410
Exo,S-P03,Spring,Saline,1383,,461
Exo,S-P03,Spring,Saline,1242,,414
Exo,S-P03,Spring,Saline,1545,,515
Exo,S-P03,Spring,Saline,1131,,377
Exo,S-P03,Spring,Saline,852,,284
Exo,S-P09,Spring,Saline,1836,,612
Exo,S-P09,Spring,Saline,1806,,602
Exo,S-P09,Spring,Saline,1620,,540
Exo,S-P09,Spring,Saline,1542,,514
Exo,S-P09,Spring,Saline,1848,,616
Exo,S-P09,Spring,Saline,1827,,609
Exo,S-P09,Spring,Saline,1827,,609
Exo,S-P09,Spring,Saline,1659,,553
Exo,S-P09,Spring,Saline,1485,,495
Exo,S-P09,Spring,Saline,1809,,603
Exo,S-P09,Spring,Saline,1461,,487
Exo,S-P09,Spring,Saline,1143,,381
Exo,S-P09,Spring,Saline,1833,,611
Exo,S-P09,Spring,Saline,1815,,605
Exo,S-P09,Spring,Saline,1278,,426
Exo,S-P09,Spring,Saline,1548,,516
Exo,S-P09,Spring,Saline,1272,,424
Exo,S-P09,Spring,Saline,900,,300
Exo,S-P09,Spring,Saline,864,,288
Exo,S-P09,Spring,Saline,267,,89
Exo,S-P09,Spring,Saline,279,,93
Exo,S-P09,Spring,Saline,318,,106
Exo,S-P12,Spring,Saline,1542,,514
Exo,S-P12,Spring,Saline,1806,,602
Exo,S-P12,Spring,Saline,1806,,602
Exo,S-P12,Spring,Saline,1659,,553
Exo,S-P12,Spring,Saline,1848,,616
Exo,S-P12,Spring,Saline,1848,,616
Exo,S-P12,Spring,Saline,1830,,610
Exo,S-P12,Spring,Saline,1815,,605
Exo,S-P12,Spring,Saline,1359,,453
Exo,S-P12,Spring,Saline,1815,,605
Exo,S-P12,Spring,Saline,1047,,349
Exo,S-P12,Spring,Saline,1203,,401
Exo,S-P12,Spring,Saline,885,,295
Exo,S-P12,Spring,Saline,867,,289
Exo,S-P12,Spring,Saline,420,,140
Exo,S-S05,Summer,Saline,1848,,616
Exo,S-S05,Summer,Saline,1806,,602
Exo,S-S05,Summer,Saline,1659,,553
Exo,S-S05,Summer,Saline,1809,,603
Exo,S-S05,Summer,Saline,1620,,540
Exo,S-S05,Summer,Saline,1836,,612
Exo,S-S05,Summer,Saline,1836,,612
Exo,S-S05,Summer,Saline,1833,,611
Exo,S-S05,Summer,Saline,1809,,603
Exo,S-S05,Summer,Saline,1839,,613
Exo,S-S05,Summer,Saline,1143,,381
Exo,S-S05,Summer,Saline,1839,,613
Exo,S-S05,Summer,Saline,1521,,507
Exo,S-S05,Summer,Saline,1815,,605
Exo,S-S05,Summer,Saline,1182,,394
Exo,S-S05,Summer,Saline,1827,,609
Exo,S-S05,Summer,Saline,1593,,531
Exo,S-S05,Summer,Saline,729,,243
Exo,S-S05,Summer,Saline,1074,,358
Exo,S-S05,Summer,Saline,867,,289
Exo,S-S05,Summer,Saline,360,,120
Exo,S-S05,Summer,Saline,1095,,365
Exo,S-S05,Summer,Saline,858,,286
Exo,S-S05,Summer,Saline,609,,203
Exo,S-S05,Summer,Saline,339,,113
Exo,S-S05,Summer,Saline,354,,118
Exo,S-S05,Summer,Saline,189,,63
Exo,S-S05,Summer,Saline,213,,71
Exo,S-S05,Summer,Saline,279,,93
Exo,S-S08,Summer,Saline,1824,,608
Exo,S-S08,Summer,Saline,1842,,614
Exo,S-S08,Summer,Saline,1788,,596
Exo,S-S08,Summer,Saline,1542,,514
Exo,S-S08,Summer,Saline,1503,,501
Exo,S-S08,Summer,Saline,1851,,617
Exo,S-S08,Summer,Saline,1686,,562
Exo,S-S08,Summer,Saline,1827,,609
Exo,S-S08,Summer,Saline,1815,,605
Exo,S-S08,Summer,Saline,1338,,446
Exo,S-S08,Summer,Saline,1761,,587
Exo,S-S08,Summer,Saline,1827,,609
Exo,S-S08,Summer,Saline,1314,,438
Exo,S-S08,Summer,Saline,1881,,627
Exo,S-S08,Summer,Saline,1326,,442
Exo,S-S08,Summer,Saline,639,,213
Exo,S-S08,Summer,Saline,534,,178
Exo,S-S08,Summer,Saline,276,,92
Exo,S-S32,Summer,Saline,1803,,601
Exo,S-S32,Summer,Saline,1542,,514
Exo,S-S32,Summer,Saline,1809,,603
Exo,S-S32,Summer,Saline,1659,,553
Exo,S-S32,Summer,Saline,1806,,602
Exo,S-S32,Summer,Saline,1761,,587
Exo,S-S32,Summer,Saline,1539,,513
Exo,S-S32,Summer,Saline,1815,,605
Exo,S-S32,Summer,Saline,1575,,525
Exo,S-S32,Summer,Saline,1839,,613
Exo,S-S32,Summer,Saline,1851,,617
Exo,S-S32,Summer,Saline,1869,,623
Exo,S-S32,Summer,Saline,1848,,616
Exo,S-S32,Summer,Saline,1107,,369
Exo,S-S32,Summer,Saline,1710,,570
Exo,S-S32,Summer,Saline,1569,,523
Exo,S-S32,Summer,Saline,873,,291
Exo,S-S32,Summer,Saline,786,,262
Exo,S-S32,Summer,Saline,294,,98
Exo,S-W20,Winter,Saline,1869,,623
Exo,S-W20,Winter,Saline,1809,,603
Exo,S-W20,Winter,Saline,1815,,605
Exo,S-W20,Winter,Saline,1833,,611
Exo,S-W20,Winter,Saline,1836,,612
Exo,S-W20,Winter,Saline,1338,,446
Exo,S-W36,Winter,Saline,1869,,623
Exo,S-W36,Winter,Saline,1809,,603
Exo,S-W36,Winter,Saline,1803,,601
Exo,S-W36,Winter,Saline,1836,,612
Exo,S-W36,Winter,Saline,1848,,616
Exo,S-W36,Winter,Saline,1857,,619
Exo,S-W36,Winter,Saline,1833,,611
Exo,S-W36,Winter,Saline,1842,,614
Exo,S-W36,Winter,Saline,1059,,353
Exo,S-W36,Winter,Saline,1833,,611
Exo,S-W36,Winter,Saline,1824,,608
Exo,S-W36,Winter,Saline,1686,,562
Exo,S-W36,Winter,Saline,276,,92
Exo,S-W36,Winter,Saline,1827,,609
Exo,S-W36,Winter,Saline,1782,,594
Exo,S-W36,Winter,Saline,1281,,427
Exo,S-W36,Winter,Saline,1227,,409
Exo,S-W36,Winter,Saline,1026,,342
Exo,S-W37,Winter,Saline,1809,602,603
Exo,S-W37,Winter,Saline,1836,612,612
Exo,S-W37,Winter,Saline,4047,1676,1349
Exo,S-W37,Winter,Saline,1338,547,446
Exo,S-W37,Winter,Saline,1446,612,482
Exo,S-W37,Winter,Saline,771,610,257
Exo,S-W37,Winter,Saline,282,613,94
